2.480	0.056
2.490	0.059
2.500	0.068
2.510	0.077
2.520	0.087
2.531	0.098
2.541	0.109
2.551	0.123
2.562	0.137
2.573	0.153
2.583	0.171
2.594	0.191
2.605	0.212
2.616	0.238
2.627	0.271
2.638	0.306
2.650	0.337
2.661	0.364
2.672	0.389
2.684	0.410
2.696	0.429
2.707	0.448
2.719	0.468
2.731	0.492
2.743	0.519
2.756	0.549
2.768	0.582
2.780	0.617
2.793	0.658
2.805	0.706
2.818	0.755
2.831	0.804
2.844	0.850
2.857	0.890
2.870	0.926
2.884	0.956
2.897	0.982
2.911	0.999
2.925	0.991
2.938	0.949
2.952	0.861
2.967	0.728
2.981	0.596
2.995	0.454
3.010	0.348
3.024	0.251
3.039	0.173
3.054	0.101
3.069	0.044
3.085	0.016
3.100	0.006
3.116	0.002
3.131	0.000
3.147	0.001
3.163	0.001
3.179	0.001
3.196	0.001
3.212	0.001
3.229	0.001
3.246	0.001
3.263	0.001


 



